Sentence_id,sentence
51891,"جنياتنا الضكور اصحاب شهامة وقُدرة صوانيهم بتلمع من غسيل البُدرة جونا تعابا  اتاريهم بفرموا الخدرة"
51892,"قال عبد الله مختار مِنْ شمال كردفان وهو يحث جمله هِجْ يا جَمَل  خَبارَك جافِل مِنْ كُشْكيش الدُّوم أي لماذا تخاف مِنْ صوت تصادم ثمر الدوم الجاف"
51893,"حينما صدحت القونة في ليل الفتيحاب الكاتم كنت أجلس بالقرب من حلوم أحتسي قهوتي كمثقف بائس"
51894,"مشيت لقيت المظاهرات في نص الحلة خشيت اكورك مع الناس و هم يجدعوا في البمبان و نحن نخش بيت الزول الكريم الي ما آبانا"
51895,"لمن قالوا ان الفلاتة كان سكتوا يا اكلوا يا قتلوا ما قالوا انهم اهل الفزعة و الجود"
51896,"الشفع بيعاينوا للبمبان بيجذبهم يمشوا جاريين ليو بعدين يبقوا في الازمة و الحساسية ما تسوقوا شفعكم لمكان قريب من البمبان"
51897,"بكاسي الأمن بتباري الي اتفرقوا لأبعد نقطة عن مكان التجمعات ما تتفرقوا و ابقوا واحد"
51898,"اليوم كله قاعدة للاخبار لمن جيت انوم سمعت جوطة شديدة في اضاني و طبول و هتافات اطلع برا ما القى شي ان شاء الله تكون البشرى"
51899,"الي بيباري السلام بيلقى الاستقرار و الي بيباري الجداد الالكتروني الجداد جداد و لو كان الكتروني بيعرف بيسوقوا وين"
51900,"اتفاقنا الليلة ما معاهدة لاقتسام السلطة و الثروة هي صفحة جديدة لنهضة كل زول عايش في السودان"
51901,"ده سلام سوداني مطبوع بهويتنا السمحة و تنوع سحناتنا سويناه بايدينا و مجهودنا  مع تعهد اخوانا في جنوب السودان"
51902,"حلنا في الانتاج حوالي ربع الموازنة بيمشي لدعم الزراعة و الصناعة بسبب ترشيدنا في دعم الجاز بالاصلاح هنمشي صاح"
51903,"غايتو الزول ما عارف مشاكل السلام دي من بلدنا لا من حلتنا لا من قسمتنا و لا الحنك شنو ذاتو"
51904,"المهلة حقة تعليق التفاوض بتنتهي بليل و ده بخلي الكيزان يستفيدوا من الحتة دي و يبدوا النبذ فينا"
51905,"اذا زول جنبك قال نقفل الشارع او نحرق الاستك ما تحنكوا لمصلحتوا زول نبذ او استفز جياشي طوالي كف لمصلحتوا"
51906,"كبسوا البارود كبسوا البمبان لملموا الحشود جمعوا الكيزان ما مرقنا من الدار عشان بنزين ولا اسعار مرقنا كايسين الاستقرار"
51907,"وبعد اتفاقية السلام هسي اها بعد داك الحنك و الرصة شنو يا سيد الرصة و المنصة"
51908,"واديك الحنك التغيير ده عشان يحصل بالجد مافي غير الشباب و الشابات يبقن مارقين و يبقوا محرك فاعل للتغيير"
51909,"الناس في اول سنة لعهد الكيزان شربت الشاي بالبلح و حلاوة متحجرة اسمها دربس"
51910,"الناس نامت في صف العيش و اكلت عيشة بس للفرد طول اليوم و الشعيرية بدل الرغيف"
51911,"الزول عشان يعيش في سلام كان يسوي علامة وغزة الصلاة على جبهته بنواة البلح"
51912,"كان الزول بيسوي سعاية دقينة اجرامية صغيرة اسمها دعوني اعيش و يغز في الجيب تلاتة اقلام"
51913,"كان يشتري شنطة اسمها تمكنا من سوق امدرمان و يعمل الطلس ده كله عشان يثبت انه كوز صالح"
51914,"الوزير بسال الحفرة دي لشنو قالوا دي جنازة الجنيه السوداني ياسعادتك وديلك المواطنين شايلين الجثمان وماشين علينا"
51915,"قالوا الحبوبات عن اتفاقية السلام الريد الكتير لابد تعقبو عداوة"
51916,"اذا كنتوا بتقولوا جلد ما جلدك كر فيه الشوك لكن البلد بلدك و الحلة حلتك ما داير ليها قومة لشنو"
51917,"اي زول ظروفو بتفرق عن التاني اي زول حلمو وهدفو بفرق عن التاني و دورنا في تحقيق السلام ما واحد"
51918,"افصل حياتك براك خليك متفرد وما تبقي نسخة مكررة اكسر دايرة التكرار في بلدنا"
51919,"عملنا ثورة او نص ثورة فشلت او نجحت جزئيا المفروض نقعد ونبقي رجال وقلبنا على البلد ما ندقس هسي"
51920,"الحل الوحيد انو المدنيين في الحكومة يخلو الخوف ويصارحونا بالحاصل والشارع بكمل الباقي الاقتراحات بتاعة نزرع كيف وكم ونصنع شنو"
51921,"دي مشاكلنا بنفصلها صاح  وبنعددها ونحصرها صاح لكن لما نجي نختها كلها مع بعض بتطلع غلط"
51922,"كنتيجة طبيعة لأتفاقية جوبا المقشاشة  دورت  في ملف ولاة الولايات"
51923,"ان جاتك في مالك سامحتك و الجات في بلدك بكتك اكتر من الي جات في نفسك"
51924,"النزاع في السودان جمرة تحرق واطيها السلام هو الحل الوحيد لطفي الجمرة"
51925,"كنداكة طوالي امشي البيت مفاوضات اصلوا مافي ليك لا لتهميش المرأة السودانية"
51926,"والله زي ماقال حمدتي البلد بقت زي العراقي المشمش يمكسو بي جاي يتقدا بي جاي"
51927,"الكنداكة امي وزوجتي واختي مكانك سامي ما مع الكجر ولكن عند تكوين المدنية شعارنا حرية سلام وعدالة ولكن قبل كده مساواة"
51928,"ماشايفين اي تهميش وبالاخبار شايفنهن بكل الاجتماعات وحتي للسفر سافرن وبعدين شنو الشعارات الما شبهنا دي ضياع وطن"
51929,"انتهت كل بنود الوثيقة الدستورية باتفاقية جوبا وسيطر الجنجويد علي كل مفاصل الدولة"
51930,"قال القائد حميدتي البلد نائمة وكمان هملة كل شخص يشيل العاوزوا من غير رقيب ولا حسيب"
51931,"المدنية و الحرية و السلام دايرين حماية المدنية بدون حماية ما بتقوم"
51932,"السلام سمح طبعًا في اخوانا كدة حارسين الخبر اليقين انو الساحة تكون خالية تمام لكن احب اقول ليكم وين ياا"
51933,"وطن حدادي مدادي يشيل كل البعيش فيه كل الي علينا نبنيهو ساي"
51934,"اذا ما قدرت تجيبلينا عصى موسى لحل مشاكل السودان الداخلية ما تكون لينا جند من جنود فرعون فتهلك اختانا ساي"
51935,"قال حميدتي للحلو ابشر ما بتجيك طعنة من الظهر وسيتم تحقيق السلام والعدالة بين الناس الشعب يتساوى كاسنان المشط"
51936,"قال ليكم ما أنا الي عرقلت السلام  ما تجيبوا للزول الهوا العوقوه المرة الفاتت لحدي هسي ما جابوهم"
51937,"انتو لسه راجين خير من الناس ديل انتو ما عارفين يعني شنو كايسين السلام من سنة حفروا البحلر و ما دايرينوا لينا"
51938,"قال مدني عباس المطالبات باستقالتي جزء من الحملة ضدي وما عندي جداد يتصدى ليها"
